Package,Declaring class,Method,Params,CC
org.apache.commons.math4.legacy.analysis.interpolation,PiecewiseBicubicSplineInterpolatingFunctionTest,testPreconditions,"()",21
org.apache.commons.math4.legacy.analysis.interpolation,PiecewiseBicubicSplineInterpolatorTest,testPreconditions,"()",21
org.apache.commons.math4.legacy.stat.inference,InferenceTestUtilsTest,testTwoSampleTHeterscedastic,"()",21
org.apache.commons.math4.legacy.stat.inference,TTestTest,testTwoSampleTHeterscedastic,"()",21
org.apache.commons.math4.legacy.stat.regression,MillerUpdatingRegressionTest,testNegativeTestAddObs,"()",21
org.apache.commons.math4.legacy.linear,EigenDecomposition,findEigenVectors,"(double[][] householderMatrix)",20
org.apache.commons.math4.legacy.core,MathArraysTest,testVerifyValuesNegative,"()",19
org.apache.commons.math4.legacy.field.linalg,Solver,solve,"(FieldDenseMatrix<T> b)",19
org.apache.commons.math4.legacy.fitting.leastsquares,LevenbergMarquardtOptimizer,optimize,"(LeastSquaresProblem problem)",19
org.apache.commons.math4.legacy.linear,Solver,solve,"(FieldMatrix<T> b)",19
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealMatrix b)",19
org.apache.commons.math4.legacy.stat.inference,InferenceTestUtilsTest,testOneSampleT,"()",19
org.apache.commons.math4.legacy.stat.inference,TTestTest,testOneSampleT,"()",19
org.apache.commons.math4.neuralnet.twod,NeuronSquareMesh2DTest,test3x3TorusNetwork,"()",19
org.apache.commons.math4.neuralnet.twod,NeuronSquareMesh2DTest,test3x3CylinderNetwork,"()",19
org.apache.commons.math4.neuralnet.twod,NeuronSquareMesh2DTest,test3x3CylinderNetwork2,"()",19
org.apache.commons.math4.legacy.core.dfp,Dfp,round,"(int n)",18
org.apache.commons.math4.legacy.core.dfp,Dfp,divide,"(Dfp divisor)",17
org.apache.commons.math4.legacy.fitting.leastsquares,LevenbergMarquardtOptimizer,qrDecomposition,"(RealMatrix jacobian, int solvedCols)",17
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealMatrix b)",17
org.apache.commons.math4.legacy.linear,EigenDecomposition,findEigenVectorsFromSchur,"(SchurTransformer schur)",17
org.apache.commons.math4.legacy.ode,AbstractIntegrator,acceptStep,"(AbstractStepInterpolator interpolator, double[] y, double[] yDot, double tEnd)",17
org.apache.commons.math4.legacy.stat.inference,KolmogorovSmirnovTest,createExactH,"(double d, int n)",17
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testPowDoubleDS,"()",17
org.apache.commons.math4.legacy.linear,Array2DRowRealMatrixTest,testSetSubMatrix,"()",17
org.apache.commons.math4.legacy.linear,Array2DRowRealMatrixTest,testWalk,"()",17
org.apache.commons.math4.legacy.linear,BlockFieldMatrixTest,testWalk,"()",17
org.apache.commons.math4.legacy.linear,BlockRealMatrixTest,testWalk,"()",17
org.apache.commons.math4.legacy.linear,FieldMatrixImplTest,testSetSubMatrix,"()",17
org.apache.commons.math4.legacy.linear,FieldMatrixImplTest,testWalk,"()",17
org.apache.commons.math4.legacy.stat.regression,MillerUpdatingRegressionTest,testPCorr,"()",17
org.apache.commons.math4.legacy.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer,doOptimize,"()",16
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,BOBYQAOptimizer,prelim,"(double[] lowerBound, double[] upperBound)",16
org.apache.commons.math4.legacy.stat.ranking,NaturalRanking,rank,"(double[] data)",16
org.apache.commons.math4.legacy.stat.ranking,NaturalRanking,resolveTie,"(double[] ranks, List<Integer> tiesTrace)",16
org.apache.commons.math4.legacy.linear,EigenDecompositionTest,createOrthogonalMatrix,"(Random r, int size)",16
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,multiply,"(BlockFieldMatrix<T> m)",15
org.apache.commons.math4.legacy.linear,BlockRealMatrix,multiply,"(BlockRealMatrix m)",15
org.apache.commons.math4.legacy.ode,AbstractFieldIntegrator,acceptStep,"(AbstractFieldStepInterpolator<T> interpolator, T tEnd)",15
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,BOBYQAOptimizer,update,"(double beta, double denom, int knew)",15
org.apache.commons.math4.legacy.stat.regression,MillerUpdatingRegression,getPartialCorrelations,"(int in)",15
org.apache.commons.math4.legacy.analysis.interpolation,HermiteInterpolatorTest,testRandomPolynomialsValuesOnly,"()",15
org.apache.commons.math4.legacy.analysis.interpolation,HermiteInterpolatorTest,testRandomPolynomialsFirstDerivative,"()",15
org.apache.commons.math4.legacy.analysis.interpolation,TricubicInterpolatingFunctionTest,testInterpolation,"(double minimumX, double maximumX, double minimumY, double maximumY, double minimumZ, double maximumZ, int numberOfElements, int numberOfSamples, TrivariateFunction f, TrivariateFunction dfdx, TrivariateFunction dfdy, TrivariateFunction dfdz, TrivariateFunction d2fdxdy, TrivariateFunction d2fdxdz, TrivariateFunction d2fdydz, TrivariateFunction d3fdxdydz, double meanRelativeTolerance, double maxRelativeTolerance, double onDataMaxAbsoluteTolerance, boolean print)",15
org.apache.commons.math4.legacy.linear,SparseFieldMatrixTest,testSetSubMatrix,"()",15
org.apache.commons.math4.legacy.linear,SparseRealMatrixTest,testSetSubMatrix,"()",15
org.apache.commons.math4.legacy.ode,FieldExpandableODETest,doTestMap,"(Field<T> field)",15
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,Basis,GenBasis,"(int dim)",15
org.apache.commons.math4.neuralnet.twod,NeuronSquareMesh2D,getLocation,"(int row, int col, HorizontalDirection alongRowDir, VerticalDirection alongColDir)",15
org.apache.commons.math4.legacy.ode.nonstiff,EmbeddedRungeKuttaFieldIntegrator,integrate,"(FieldExpandableODE<T> equations, FieldODEState<T> initialState, T finalTime)",14
org.apache.commons.math4.legacy.ode.nonstiff,EmbeddedRungeKuttaIntegrator,integrate,"(ExpandableStatefulODE equations, double t)",14
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaIntegrator,integrate,"(ExpandableStatefulODE equations, double t)",14
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testSinCos,"()",14
org.apache.commons.math4.legacy.analysis.function,HarmonicOscillatorTest,testDerivative,"()",14
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,doTestMapBinaryOperation,"(BinaryOperation op, boolean inPlace)",14
org.apache.commons.math4.legacy.analysis.differentiation,DSCompiler,compileCompositionIndirection,"(int parameters, int order, DSCompiler valueCompiler, DSCompiler derivativeCompiler, int[][] sizes, int[][] derivativesIndirection)",13
org.apache.commons.math4.legacy.analysis.polynomials,PolynomialFunctionLagrangeForm,computeCoefficients,"()",13
org.apache.commons.math4.legacy.fitting.leastsquares,GaussNewtonOptimizer,computeNormalMatrix,"(RealMatrix jacobian, RealVector residuals)",13
org.apache.commons.math4.legacy.fitting.leastsquares,LevenbergMarquardtOptimizer,determineLMDirection,"(double[] qy, double[] diag, double[] lmDiag, InternalData internalData, int solvedCols, double[] work, double[] lmDir)",13
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,multiply,"(FieldMatrix<T> m)",13
org.apache.commons.math4.legacy.linear,BlockRealMatrix,multiply,"(RealMatrix m)",13
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaIntegrator,singleStep,"(FirstOrderDifferentialEquations equations, double t0, double[] y0, double t)",13
org.apache.commons.math4.legacy.stat.correlation,KendallsCorrelation,correlation,"(double[] xArray, double[] yArray)",13
org.apache.commons.math4.legacy.stat.inference,KolmogorovSmirnovTest,pelzGood,"(double d, int n)",13
org.apache.commons.math4.legacy.stat.inference,KolmogorovSmirnovTest,createRoundedH,"(double d, int n)",13
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testTaylorPolynomial,"()",13
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testCompose,"()",13
org.apache.commons.math4.legacy.analysis.differentiation,SparseGradientTest,testTaylorPolynomial,"()",13
org.apache.commons.math4.legacy.analysis.interpolation,FieldHermiteInterpolatorTest,testRandomPolynomialsValuesOnly,"()",13
org.apache.commons.math4.legacy.analysis.interpolation,FieldHermiteInterpolatorTest,testRandomPolynomialsFirstDerivative,"()",13
org.apache.commons.math4.legacy.analysis.interpolation,TricubicInterpolatorTest,testPreconditions,"()",13
org.apache.commons.math4.legacy.fitting.leastsquares,EvaluationTestValidation,testParametersErrorMonteCarloObservations,"()",13
org.apache.commons.math4.legacy.linear,BlockFieldMatrixTest,testSetSubMatrix,"()",13
org.apache.commons.math4.legacy.linear,BlockRealMatrixTest,testSetSubMatrix,"()",13
org.apache.commons.math4.legacy.linear,FieldLUSolverTest,testSolve,"()",13
org.apache.commons.math4.legacy.linear,SparseFieldMatrixTest,testSubMatrix,"()",13
org.apache.commons.math4.legacy.linear,SparseRealMatrixTest,testSubMatrix,"()",13
org.apache.commons.math4.legacy.ode,JacobianMatricesTest,testFinalResult,"()",13
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaFieldStepInterpolatorAbstractTest,setUpInterpolator,"(Field<T> field, FirstOrderFieldDifferentialEquations<T> eqn, double t0, double[] y0, double t1)",13
org.apache.commons.math4.legacy.stat.inference,MannWhitneyUTestTest,testMannWhitneyUInputValidation,"()",13
org.apache.commons.math4.neuralnet.twod,NeuronSquareMesh2DTest,test3x2CylinderNetwork,"()",13
org.apache.commons.math4.userguide,FastMathTestPerformance,testAtan2,"()",13
org.apache.commons.math4.userguide,FastMathTestPerformance,testHypot,"()",13
org.apache.commons.math4.userguide,FastMathTestPerformance,testIEEEremainder,"()",13
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaFieldIntegrator,integrate,"(FieldExpandableODE<T> equations, FieldODEState<T> initialState, T finalTime)",12
org.apache.commons.math4.legacy.analysis.solvers,FieldBracketingNthOrderBrentSolverTest,check,"(RealFieldUnivariateFunction<Dfp> f, int maxEval, double min, double max, AllowedSolution allowedSolution)",12
org.apache.commons.math4.legacy.optim.linear,SimplexSolverTest,validSolution,"(PointValuePair solution, List<LinearConstraint> constraints, double epsilon)",12
org.apache.commons.math4.neuralnet.twod,NeuronSquareMesh2D,createLinks,"()",12
org.apache.commons.math4.legacy.core.dfp,Dfp,dfp2string,"()",11
org.apache.commons.math4.legacy.core,MathArraysTest,testCheckOrder,"()",11
org.apache.commons.math4.legacy.core,MathArraysTest,testConvolve,"()",11
org.apache.commons.math4.legacy.analysis.polynomials,PolynomialsUtils,shift,"(double[] coefficients, double shift)",11
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,operate,"(T[] v)",11
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,preMultiply,"(T[] v)",11
org.apache.commons.math4.legacy.linear,BlockRealMatrix,getNorm,"()",11
org.apache.commons.math4.legacy.linear,BlockRealMatrix,operate,"(double[] v)",11
org.apache.commons.math4.legacy.linear,BlockRealMatrix,preMultiply,"(double[] v)",11
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealMatrix b)",11
org.apache.commons.math4.legacy.linear,Solver,solve,"(FieldVector<T> b)",11
org.apache.commons.math4.legacy.linear,Solver,solve,"(ArrayFieldVector<T> b)",11
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealVector b)",11
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealVector b)",11
org.apache.commons.math4.legacy.ml.clustering,ElkanKMeansPlusPlusClusterer,cluster,"(Collection<T> points)",11
org.apache.commons.math4.legacy.ode.nonstiff,AdamsNordsieckFieldTransformer,initializeHighOrderDerivatives,"(T h, T[] t, T[][] y, T[][] yDot)",11
org.apache.commons.math4.legacy.ode.nonstiff,AdamsNordsieckTransformer,initializeHighOrderDerivatives,"(double h, double[] t, double[][] y, double[][] yDot)",11
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaFieldIntegrator,singleStep,"(FirstOrderFieldDifferentialEquations<T> equations, T t0, T[] y0, T t)",11
org.apache.commons.math4.legacy.optim.linear,SimplexTableau,dropPhase1Objective,"()",11
org.apache.commons.math4.legacy.stat.inference,ChiSquareTest,chiSquare,"(long[][] counts)",11
org.apache.commons.math4.legacy.analysis.differentiation,DSCompilerTest,testCompositionRules,"()",11
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testPowReciprocalPow,"()",11
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testHypotDefinition,"()",11
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testPrimitiveRemainder,"()",11
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testRemainder,"()",11
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testAtan2,"()",11
org.apache.commons.math4.legacy.analysis.differentiation,FiniteDifferencesDifferentiatorTest,testSeveralFreeParameters,"()",11
org.apache.commons.math4.legacy.analysis.interpolation,AkimaSplineInterpolatorTest,testIllegalArguments,"()",11
org.apache.commons.math4.legacy.analysis.interpolation,BicubicInterpolatingFunctionTest,testInterpolation,"(double minimumX, double maximumX, double minimumY, double maximumY, int numberOfElements, int numberOfSamples, BivariateFunction f, BivariateFunction dfdx, BivariateFunction dfdy, BivariateFunction d2fdxdy, double meanTolerance, double maxTolerance, boolean print)",11
org.apache.commons.math4.legacy.analysis.interpolation,PiecewiseBicubicSplineInterpolatingFunctionTest,testInterpolation,"(double minimumX, double maximumX, double minimumY, double maximumY, int numberOfElements, int numberOfSamples, BivariateFunction f, double meanTolerance, double maxTolerance)",11
org.apache.commons.math4.legacy.analysis.interpolation,PiecewiseBicubicSplineInterpolatorTest,testInterpolation1,"()",11
org.apache.commons.math4.legacy.analysis.interpolation,PiecewiseBicubicSplineInterpolatorTest,testInterpolation2,"()",11
org.apache.commons.math4.legacy.distribution,EnumeratedIntegerDistributionTest,testExceptions,"()",11
org.apache.commons.math4.legacy.distribution,EnumeratedRealDistributionTest,testExceptions,"()",11
org.apache.commons.math4.legacy.distribution,MultivariateNormalDistributionTest,testSampling,"()",11
org.apache.commons.math4.legacy.fitting.leastsquares,EvaluationTestValidation,testParametersErrorMonteCarloParameters,"()",11
org.apache.commons.math4.legacy.linear,ArrayFieldVectorTest,testDataInOut,"()",11
org.apache.commons.math4.legacy.linear,ArrayFieldVectorTest,testWalkInDefaultOrderPreservingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,ArrayFieldVectorTest,testWalkInOptimizedOrderPreservingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,ArrayFieldVectorTest,testWalkInDefaultOrderChangingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,ArrayFieldVectorTest,testWalkInOptimizedOrderChangingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,FieldLUDecompositionTest,testPPermutation,"()",11
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,doTestCombine,"(boolean inPlace, boolean mixed)",11
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,testWalkInDefaultOrderPreservingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,testWalkInOptimizedOrderPreservingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,testWalkInDefaultOrderChangingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,testWalkInOptimizedOrderChangingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,SparseFieldVectorTest,testWalkInDefaultOrderPreservingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,SparseFieldVectorTest,testWalkInOptimizedOrderPreservingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,SparseFieldVectorTest,testWalkInDefaultOrderChangingVisitor2,"()",11
org.apache.commons.math4.legacy.linear,SparseFieldVectorTest,testWalkInOptimizedOrderChangingVisitor2,"()",11
org.apache.commons.math4.legacy.ml.clustering,KMeansPlusPlusClustererTest,testCertainSpace,"()",11
org.apache.commons.math4.legacy.ode,JacobianMatricesTest,testParameterizable,"()",11
org.apache.commons.math4.legacy.ode.nonstiff,AbstractEmbeddedRungeKuttaFieldIntegratorTest,doTestNonFieldIntegratorConsistency,"(Field<T> field)",11
org.apache.commons.math4.legacy.ode.nonstiff,AbstractRungeKuttaFieldIntegratorTest,doTestNonFieldIntegratorConsistency,"(Field<T> field)",11
org.apache.commons.math4.legacy.ode.nonstiff,EmbeddedRungeKuttaFieldIntegratorAbstractTest,doTestNonFieldIntegratorConsistency,"(Field<T> field)",11
org.apache.commons.math4.legacy.ode.nonstiff,HighamHall54IntegratorTest,testSanityChecks,"()",11
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaFieldIntegratorAbstractTest,doTestNonFieldIntegratorConsistency,"(Field<T> field)",11
org.apache.commons.math4.legacy.ode.nonstiff,RungeKuttaFieldStepInterpolatorAbstractTest,convertInterpolator,"(RungeKuttaFieldStepInterpolator<T> fieldInterpolator, FirstOrderFieldDifferentialEquations<T> eqn)",11
org.apache.commons.math4.legacy.stat.inference,ChiSquareTestTest,testChiSquare,"()",11
org.apache.commons.math4.legacy.stat.inference,ChiSquareTestTest,testChiSquareIndependence,"()",11
org.apache.commons.math4.legacy.stat.inference,InferenceTestUtilsTest,testChiSquare,"()",11
org.apache.commons.math4.legacy.stat.inference,InferenceTestUtilsTest,testChiSquareIndependence,"()",11
org.apache.commons.math4.neuralnet.twod.util,UnifiedDistanceMatrix,computeImage,"(NeuronSquareMesh2D map)",11
org.apache.commons.math4.core.jdkmath,AccurateMath,sin,"(double x)",10
org.apache.commons.math4.core.jdkmath,AccurateMath,cos,"(double x)",10
org.apache.commons.math4.legacy.core.dfp,Dfp,sqrt,"()",10
org.apache.commons.math4.legacy.core.dfp,Dfp,dotrap,"(int type, String what, Dfp oper, Dfp result)",10
org.apache.commons.math4.legacy.ode.nonstiff,AdamsMoultonIntegrator,integrate,"(ExpandableStatefulODE equations, double t)",10
org.apache.commons.math4.legacy.ode.nonstiff,GraggBulirschStoerIntegrator,integrate,"(ExpandableStatefulODE equations, double t)",10
org.apache.commons.math4.legacy.stat.inference,BinomialTest,binomialTest,"(int numberOfTrials, int numberOfSuccesses, double probability, AlternativeHypothesis alternativeHypothesis)",10
org.apache.commons.math4.legacy.linear,RealVectorAbstractTest,doTestEbeBinaryOperationDimensionMismatch,"(BinaryOperation op)",10
org.apache.commons.math4.examples.kmeans.image,ImageData,write,"(List<? extends Cluster<PixelClusterable>> clusters, String outputPrefix)",9
org.apache.commons.math4.legacy.core.dfp,Dfp,multiply,"(Dfp x)",9
org.apache.commons.math4.legacy.core.dfp,Dfp,dfp2sci,"()",9
org.apache.commons.math4.legacy.core,MathArraysTest,testNormalizeArray,"()",9
org.apache.commons.math4.legacy.analysis.integration.gauss,HermiteRuleFactory,computeRule,"(int numberOfPoints)",9
org.apache.commons.math4.legacy.analysis.integration.gauss,LegendreHighPrecisionRuleFactory,computeRule,"(int numberOfPoints)",9
org.apache.commons.math4.legacy.analysis.integration.gauss,LegendreRuleFactory,computeRule,"(int numberOfPoints)",9
org.apache.commons.math4.legacy.analysis.interpolation,FieldHermiteInterpolator,derivatives,"(T x, int order)",9
org.apache.commons.math4.legacy.analysis.interpolation,LoessInterpolator,smooth,"(double[] xval, double[] yval, double[] weights)",9
org.apache.commons.math4.legacy.analysis.interpolation,SplineInterpolator,interpolate,"(double[] x, double[] y)",9
org.apache.commons.math4.legacy.distribution.fitting,MultivariateNormalMixtureExpectationMaximization,estimate,"(double[][] data, int numComponents)",9
org.apache.commons.math4.legacy.linear,Array2DRowRealMatrix,multiply,"(Array2DRowRealMatrix m)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,toBlocksLayout,"(T[][] rawData)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,add,"(FieldMatrix<T> m)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,subtract,"(FieldMatrix<T> m)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,setSubMatrix,"(T[][] subMatrix, int row, int column)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,transpose,"()",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInRowOrder,"(FieldMatrixChangingVisitor<T> visitor)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInRowOrder,"(FieldMatrixPreservingVisitor<T> visitor)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInRowOrder,"(FieldMatrixChangingVisitor<T> visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInRowOrder,"(FieldMatrixPreservingVisitor<T> visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInOptimizedOrder,"(FieldMatrixChangingVisitor<T> visitor)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInOptimizedOrder,"(FieldMatrixPreservingVisitor<T> visitor)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInOptimizedOrder,"(FieldMatrixChangingVisitor<T> visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockFieldMatrix,walkInOptimizedOrder,"(FieldMatrixPreservingVisitor<T> visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,toBlocksLayout,"(double[][] rawData)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,add,"(RealMatrix m)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,subtract,"(RealMatrix m)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,setSubMatrix,"(double[][] subMatrix, int row, int column)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,transpose,"()",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInRowOrder,"(RealMatrixChangingVisitor visitor)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInRowOrder,"(RealMatrixPreservingVisitor visitor)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInRowOrder,"(RealMatrixChangingVisitor visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInRowOrder,"(RealMatrixPreservingVisitor visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInOptimizedOrder,"(RealMatrixChangingVisitor visitor)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInOptimizedOrder,"(RealMatrixPreservingVisitor visitor)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInOptimizedOrder,"(RealMatrixChangingVisitor visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,BlockRealMatrix,walkInOptimizedOrder,"(RealMatrixPreservingVisitor visitor, int startRow, int endRow, int startColumn, int endColumn)",9
org.apache.commons.math4.legacy.linear,Solver,solve,"(RealVector b)",9
org.apache.commons.math4.legacy.ml.clustering,ElkanKMeansPlusPlusClusterer,seed,"(List<T> points)",9
org.apache.commons.math4.legacy.ml.clustering,KMeansPlusPlusClusterer,chooseInitialCenters,"(Collection<T> points)",9
org.apache.commons.math4.legacy.ml.clustering.evaluation,CalinskiHarabasz,meanOfClusters,"(Collection<? extends Cluster<? extends Clusterable>> clusters, int dimension)",9
org.apache.commons.math4.legacy.ode.nonstiff,GraggBulirschStoerIntegrator,initializeArrays,"()",9
org.apache.commons.math4.legacy.ode.nonstiff,GraggBulirschStoerIntegrator,tryStep,"(double t0, double[] y0, double step, int k, double[] scale, double[][] f, double[] yMiddle, double[] yEnd, double[] yTmp)",9
org.apache.commons.math4.legacy.optim.linear,SimplexTableau,scale,"(double[][] scaled, double[] scaledRhs)",9
org.apache.commons.math4.legacy.optim.nonlinear.scalar.noderiv,PowellOptimizer,doOptimize,"()",9
org.apache.commons.math4.legacy.stat.inference,GTest,entropy,"(long[][] k)",9
org.apache.commons.math4.legacy.analysis,FunctionUtilsTest,testToDifferentiableMultivariate,"()",9
org.apache.commons.math4.legacy.analysis.differentiation,DSCompilerTest,testMultiplicationRules,"()",9
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testMultiply,"()",9
org.apache.commons.math4.legacy.analysis.differentiation,DerivativeStructureTest,testTrigo,"()",9
org.apache.commons.math4.legacy.analysis.differentiation,FiniteDifferencesDifferentiatorTest,testBounds,"()",9
org.apache.commons.math4.legacy.analysis.integration,IterativeLegendreGaussIntegratorTest,testExactIntegration,"()",9
org.apache.commons.math4.legacy.analysis.interpolation,BicubicInterpolatorTest,testPreconditions,"()",9
org.apache.commons.math4.legacy.analysis.interpolation,BicubicInterpolatorTest,testInterpolation,"(int numSamples, double tolerance, BivariateFunction f, boolean print)",9
org.apache.commons.math4.legacy.analysis.polynomials,PolynomialSplineFunctionTest,testValues,"()",9
org.apache.commons.math4.legacy.analysis.polynomials,PolynomialsUtilsTest,testJacobiOrthogonality,"()",9
org.apache.commons.math4.legacy.field.linalg,FP64FieldDenseMatrixTest,testSetGet,"()",9
org.apache.commons.math4.legacy.field.linalg,FP64FieldDenseMatrixTest,testTranspose,"()",9
org.apache.commons.math4.legacy.field.linalg,FieldLUDecompositionTest,testPPermutation,"()",9
org.apache.commons.math4.legacy.fitting.leastsquares,LevenbergMarquardtOptimizerTest,testBevington,"()",9
org.apache.commons.math4.legacy.fitting.leastsquares,BrownAlmostLinearFunction,computeJacobian,"(double[] variables)",9
org.apache.commons.math4.legacy.linear,Array2DRowRealMatrixTest,checkCopy,"(RealMatrix m, double[][] reference, int startRow, int endRow, int startColumn, int endColumn, boolean mustFail)",9
